"file","date","time","time_point","culture_ID","comment","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean"
"sample_00032","21.04.22",14,"t2",32,NA,32.136,0.934186046511628,105982.06374,3080.87394593023,83.5611282588876,39.3869036141377,40.4039354716849,17.6464832784758,374.990416527086,244.901584849721,279.604117647059,274.667157965247,0.528235294117647
"sample_00033","21.04.22",14,"t2",33,NA,48.712,1.41604651162791,180344.1753,5242.56323546512,86.4942075302702,47.6406320996205,41.3516063098031,17.2785643711534,250.16913800338,162.776501705525,134.123055555556,175.346471441173,0.781666666666667
"sample_00034","21.04.22",14,"t2",34,NA,27.456,0.798139534883721,115637.36256,3361.5512372093,91.6712009481537,61.4341105343224,39.3046372630787,17.9828771038682,281.259103510772,225.246041586139,170.262888888889,232.437047495193,0.752
"sample_00035","21.04.22",14,"t2",35,NA,53.536,1.55627906976744,203993.43102,5930.04159941861,88.391288426959,42.445236010574,43.3536510179857,15.6618234676935,213.584830681103,165.833340945847,112.936785714286,160.183831947094,0.792857142857143
"sample_00036","21.04.22",14,"t2",36,NA,40.608,1.18046511627907,155992.23648,4534.6580372093,88.5619742540097,56.7774226498944,41.241828683513,17.6402488540842,295.014519138079,189.422767294578,195.885818181818,187.468789517881,0.531636363636364
"sample_00037","21.04.22",14,"t2",37,NA,43.2,1.25581395348837,220118.00706,6398.779275,102.833067548307,68.1634208052907,45.9010060716975,21.4180589767561,231.08623348654,149.294971667286,129.690153846154,163.627384488855,0.595846153846154
"sample_00038","21.04.22",14,"t2",38,NA,37.776,1.09813953488372,166602.55446,4843.09751337209,99.0691450329189,85.1912337652239,42.2415687383659,15.5843734336347,315.364526785466,184.585412150428,193.6988,182.81286148699,0.5288
"sample_00039","21.04.22",14,"t2",39,NA,31.576,0.917906976744186,115095.55518,3345.80102267442,88.5109819396734,40.8164747819303,41.9611846678273,14.5785724972367,274.996842143314,234.815348369657,176.924468085106,228.431608838529,0.60531914893617
"sample_00040","21.04.22",14,"t2",40,NA,44.96,1.30697674418605,133002.6237,3866.35534011628,79.6269498861554,37.5418167355725,36.3499724326668,15.9672842397773,289.196161153359,164.512418615354,165.488714285714,172.69927430276,0.707285714285714
"sample_00041","21.04.22",14,"t2",41,NA,36.272,1.05441860465116,159536.88234,4637.70006802326,89.5781966281688,55.7358739732792,43.8734526351363,19.5165198758326,197.833218705284,154.925370124156,105.251481481481,137.659565450527,0.659074074074074
"sample_00042","21.04.22",15,"t2",42,NA,47.792,1.3893023255814,131110.30008,3811.34593255814,79.2339336193106,40.5791649352886,38.3344194413746,15.364750159505,341.213085092355,232.446230661488,222.174333333333,243.259211077657,0.46
"sample_00043","21.04.22",15,"t2",43,NA,42.048,1.22232558139535,210787.34652,6127.53914302326,97.3504018997794,52.8964102666853,46.6440088201999,20.8471555182925,233.274002476906,179.940350442391,149.188387096774,188.962567940325,0.566129032258065
"sample_00044","21.04.22",15,"t2",44,NA,57.144,1.66116279069767,189300.33396,5502.91668488372,88.6820741455846,40.5212267775195,40.4593059244209,12.9527528144537,354.397737455059,251.697509009106,234.857804878049,258.823603308682,0.497073170731707
"sample_00045","21.04.22",15,"t2",45,NA,30.104,0.875116279069767,119994.91632,3488.22431162791,99.0536926224993,43.6542520384891,43.3740392406412,12.3938749410006,248.742758490019,170.988676240915,151.337954545455,169.172670240154,0.614545454545455
"sample_00046","21.04.22",15,"t2",46,NA,33.632,0.977674418604651,104284.60182,3031.52912267442,83.6550415305178,33.5801718002709,39.7976522324639,11.8631724723438,245.199107737185,174.11527366032,149.874583333333,168.012149902072,0.57875
"sample_00047","21.04.22",15,"t2",47,NA,27.808,0.808372093023256,97993.39014,2848.6450622093,83.1741171108467,39.0792577785092,39.9519388686086,13.4354546663446,286.921366632224,209.529607474443,163.931904761905,190.170384337862,0.633095238095238
"sample_00048","21.04.22",15,"t2",48,NA,24.624,0.715813953488372,94908.67038,2758.97297616279,94.6404512438628,52.4214973948934,35.8852272512048,18.1052137080566,253.414950920563,204.958510518653,164.923571428571,212.982458922994,0.728809523809524
"sample_00049","21.04.22",15,"t2",49,NA,37.912,1.10209302325581,230213.28654,6692.24670174419,94.6270300708801,109.922472416117,41.3209435018451,25.8597424459399,277.845004206999,227.171482746743,174.777719298246,206.970870897483,0.608421052631579
"sample_00050","21.04.22",15,"t2",50,NA,38.056,1.10627906976744,143323.99524,4166.39521046512,95.8665722317384,39.3498643891927,40.6691509904646,14.4606517217986,264.698069494864,133.718662764843,156.308,132.651478739659,0.495333333333333
"sample_00051","21.04.22",15,"t2",51,NA,31.44,0.913953488372093,144075.75462,4188.24868081395,95.5720124443065,52.7214659784908,44.3759288766275,19.7293770268977,216.76725756524,146.605553147109,108.970408163265,127.502811308208,0.741428571428571
"sample_00052","21.04.22",15,"t2",52,NA,32,0.930232558139535,103484.81592,3008.27953255814,90.0680525429101,41.0797692225161,39.7432202388761,14.4490681183338,263.965424547406,151.660908999596,175.48,134.569061738361,0.446666666666667
"sample_00053","21.04.22",15,"t2",53,NA,25.136,0.730697674418605,108312.66216,3148.6239,89.637875960425,60.5283359272976,40.8386483455267,19.2308982623442,191.412261781383,104.453680502137,101.767878787879,106.548797088399,0.606363636363636
"sample_00054","21.04.22",15,"t2",54,NA,30.2,0.877906976744186,72863.71038,2118.13111569767,80.8042919209609,51.0825433484602,36.1092038135087,14.3951841034119,274.44425060644,183.045109682589,183.978863636364,163.940128169585,0.509772727272727
"sample_00055","21.04.22",15,"t2",55,NA,47.112,1.36953488372093,175645.05588,5105.96092674419,90.9355835332914,40.3976157997197,42.467510443244,14.4218483975163,327.398929703804,204.220361348313,194.55921875,187.21656050668,0.4375
"sample_00056","21.04.22",15,"t2",56,NA,24.552,0.713720930232558,82177.70598,2388.88680174419,83.2714172650435,48.3543593440548,38.5561040501797,18.8860663747494,217.879275037889,150.578379737415,117.290666666667,116.838210032841,0.614333333333333
"sample_00057","21.04.22",15,"t2",57,NA,20.328,0.59093023255814,55693.0485,1618.98396802326,71.2937634055127,42.7148337036208,32.1450021859089,19.7543038986461,245.403005255728,171.742811698694,137.317142857143,165.663816198586,0.700857142857143
"sample_00058","21.04.22",15,"t2",58,NA,21.216,0.616744186046512,71693.75286,2084.12072267442,77.763011675059,36.4894318183018,39.1600300185622,16.0322066459047,328.106027637151,241.200966478054,212.013125,258.668634674003,0.70375
"sample_00059","21.04.22",15,"t2",59,NA,17.512,0.50906976744186,42964.31484,1248.96264069767,71.5893777127914,39.6084433122875,34.2918010929424,18.2411270134088,268.530113261801,159.909450192049,171.427931034483,179.720794416135,0.700344827586207
"sample_00060","21.04.22",15,"t2",60,NA,29.904,0.869302325581395,112645.28412,3274.5722127907,91.7384315167672,38.1871513969328,42.9428676725204,14.5991102427536,296.157661700647,261.618630354534,178.691777777778,265.601926919086,0.685777777777778
"sample_00061","21.04.22",15,"t2",61,NA,25.64,0.745348837209302,110102.7654,3200.66178488372,106.424045894072,42.222917171611,42.0152670836718,13.8786498161551,221.421657714724,162.501707254651,144.878888888889,174.750072647077,0.574166666666667
"sample_00062","21.04.22",15,"t2",62,NA,32.984,0.958837209302326,124682.75082,3624.49857034884,102.79306236665,42.4192073251486,39.723421297213,13.3965124102945,189.485612862773,89.4765373360418,131.262045454545,108.041767904815,0.5025
"sample_00063","21.04.22",15,"t2",63,NA,32.432,0.942790697674419,86412.56904,2511.99328604651,82.1949565849586,46.5125936369721,36.8773042060351,13.6428957304803,286.784196384652,196.923607488051,184.026304347826,206.621309822354,0.596086956521739
"sample_00064","21.04.22",16,"t2",64,NA,32.176,0.935348837209302,148490.91396,4316.59633604651,105.68330192456,62.5902690736962,41.5904928857751,16.9363659186366,219.471355964043,124.696294990649,140.48023255814,129.810556535437,0.557674418604651
"sample_00065","21.04.22",16,"t2",65,NA,30.432,0.884651162790698,79161.48306,2301.20590290698,71.5142580232881,45.1266572943169,32.9279148037491,16.3814931335042,193.719185192489,124.435606493495,100.108085106383,85.1587269044847,0.590425531914894
"sample_00066","21.04.22",16,"t2",66,NA,26.104,0.758837209302326,194503.99428,5654.18588023256,113.366817226504,126.578411335017,45.1294187018684,25.8161050800392,216.897434287043,201.06060949791,137.552954545455,213.158330460144,0.698636363636364
"sample_00067","21.04.22",16,"t2",67,NA,40.736,1.18418604651163,109188.55566,3174.08592034884,72.7630081558962,34.8115824264295,36.4628831662894,13.0954093107429,352.019196397177,228.877385610314,240.977586206897,235.813102178364,0.482068965517241
"sample_00068","21.04.22",16,"t2",68,NA,31.488,0.915348837209302,161050.2426,4681.69309883721,95.5678170267587,55.4545754309786,45.0427625118919,19.4004484637221,232.010308868578,180.031741798439,108.832115384615,141.588279692981,0.696923076923077
"sample_00069","21.04.22",16,"t2",69,NA,32.624,0.948372093023256,102184.42572,2970.47749186047,82.8842136532741,30.2269445659774,39.6281110833915,14.6896528572248,343.367620209764,297.707323438584,236.895636363636,322.12275088833,0.734363636363636
"sample_00070","21.04.22",16,"t2",70,NA,30.304,0.88093023255814,122748.69924,3568.27614069767,87.3374995628012,48.2991145512221,44.1558717321752,18.4009595105018,283.795866062785,212.399159754863,157.67625,173.084255532668,0.641875
"sample_00071","21.04.22",16,"t2",71,NA,19.824,0.576279069767442,76510.18296,2224.13322558139,93.7013079384132,39.9792908504602,40.1605172881192,16.2928315873814,260.218332185515,175.363831634915,175.338461538462,186.411497149555,0.551923076923077
"sample_00072","21.04.22",16,"t2",72,NA,28.344,0.823953488372093,115139.38266,3347.07507732558,87.9849592904372,57.6192227084454,36.9721419398918,21.7577673568219,289.461249948584,168.176518616383,173.26,178.329522914343,0.693255813953488
"sample_00073","21.04.22",16,"t2",73,NA,17.768,0.516511627906977,61365.16422,1783.87105290698,87.3635351684656,46.6710794890132,40.7696760341416,17.6306034018502,246.993352739567,170.046196855686,144.4465,129.170717118043,0.5825
"sample_00074","21.04.22",16,"t2",74,NA,23.024,0.669302325581395,85693.8771,2491.10107848837,92.1326489505018,38.698639211561,41.6536864328557,14.0204776886116,344.811359660991,224.534382788715,248.732580645161,237.651839840942,0.483225806451613
"sample_00075","21.04.22",16,"t2",75,NA,22.496,0.653953488372093,61366.47642,1783.90919825581,66.4777507494851,51.4213692859982,34.3425942838911,19.9319773422983,247.996918088458,181.506446938382,176.605666666667,171.387882255494,0.500333333333333
"sample_00076","21.04.22",16,"t2",76,NA,18.992,0.552093023255814,58372.16724,1696.86532674419,76.6281005199696,41.0750383078317,36.7469408056974,17.2642574614991,261.606146650979,213.210949397842,170.392,214.52479719057,0.791
"sample_00077","21.04.22",16,"t2",77,NA,11.536,0.335348837209302,52659.11088,1530.78810697674,108.182303618723,26.4419808290709,48.008552389194,12.1962433107808,257.765046909419,164.992570609468,136.914666666667,162.624105877268,0.567333333333333
"sample_00078","21.04.22",16,"t2",78,NA,20.608,0.59906976744186,62493.65622,1816.67605290698,79.7844708011789,43.4259305216382,39.6075982699574,19.1059612563259,343.653816249953,248.583076724655,226.429259259259,244.464656355725,0.644814814814815
