"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","culture_ID","comment","time","replicate"
"sample_00010",56.0522159090909,7.30293613201223,1278.27664772727,491.331584003901,165.277416477273,41.5557827153279,70.2549357954545,20.925991408463,22.5324051136364,4.02553940074573,3.11560227272727,0.851531555152281,0,0.37,3.56,88,684.1,684,192.16,783.63,220.12,24.58,1.08,3.45,86.1,614.5,27.03,"sample_00010-12","11.05.2022","t7",10,NA,NA,1
"sample_00010",85.99096,9.00551640295386,2358.41706,1187.98573697064,195.927012,57.4398419730845,79.4108772,22.7556365682251,34.9789752,10.568187835631,2.288736,0.215233674364968,0.09,0.4,5,125,109.78,68,13.52,518.87,103.77,33.94,0.45,3.23,80.78,848.47,11.32,"sample_00010-13","11.05.2022","t7",10,NA,NA,1
"sample_00010",68.2471612903226,16.114536173068,1111.13709677419,449.180353498225,133.325216129032,34.6270327613638,53.3348419354839,15.5993040006603,25.5409983870968,5.28644115275869,2.08529032258064,0.524983758069294,0.05,0.56,1.24,31,165.5,166,133.47,183.89,148.3,9.4,2,1.89,47.34,234.96,49.9,"sample_00010-14","11.05.2022","t7",10,NA,NA,1
"sample_00010",72.5667924528302,1.7106996325201,2474.76587264151,53.4603526123203,191.156332075472,3.21849635569594,70.6021216981132,1.71341003675376,44.6595028301887,1.55760803885515,1.58385849056604,0.0884289802399153,0.01,0.6,4.24,106,357.35,357,84.28,995.89,234.88,30.45,0.2,7.76,194,761.35,5.04,"sample_00010-2","11.05.2022","t7",10,NA,NA,1
"sample_00010",78.7640204081633,16.4241388206377,1628.36655612245,303.488801310172,161.579254591837,24.4929768977426,63.6156642857143,13.4707237706959,33.0175423469388,4.90434346449656,2.00242857142857,0.676605566621725,0.03,0.81,3.92,98,253.46,246,62.84,472.32,120.49,22.94,0.26,3.33,83.28,573.44,6.58,"sample_00010-21","11.05.2022","t7",10,NA,NA,1
"sample_00010",54.585928,3.93445024272974,1568.7351,403.105977077349,188.582256,30.6282301080628,80.771256,14.6576731657606,24.4436616,3.3544181667143,3.323784,0.563649264428086,0,0.38,5,125,1006.36,1006,201.27,1119.27,223.85,31.95,1.62,3.8,95.02,798.86,40.5,"sample_00010-3","11.05.2022","t7",10,NA,NA,1
"sample_00010",62.6867407407407,8.78230843839605,1505.9925,371.147239921628,184.5327,33.1728106469828,81.0681,17.0450884373171,23.5086,3.88933975114128,3.50481481481481,0.892012031526181,-0.09,0.61,1.12,27,143.92,126,112.54,208.09,185.79,23.46,3,5,119.9,586.47,75.12,"sample_00010-5","11.05.2022","t7",10,NA,NA,1
"sample_00010",56.8884074074074,2.59954012588705,1202.85,499.422301597248,159.3327,53.4984897049961,68.24475,25.425509540095,21.66195,3.67949699402492,3.09233333333333,1.03687003116999,-0.08,0.88,1.16,27,149.16,138,119.34,198.95,171.51,18.17,0.85,4.05,104.53,454.31,21.2,"sample_00010-52","11.05.2022","t7",10,NA,NA,1
"sample_00010",67.480664,4.06011986940478,2970.95202,77.355741869437,271.0664676,13.4251418309896,124.5443364,8.0012286065182,30.5041464,2.19531657922754,4.11616,0.473790572354087,0.02,0.48,5,125,1010.57,818,163.63,2581.28,516.26,35.81,0.87,8.07,201.64,895.3,21.74,"sample_00010-6","11.05.2022","t7",10,NA,NA,1
"sample_00011",54.4692156862745,5.66643974048512,498.507352941176,182.682277489096,82.4901617647059,23.0687648954004,30.2407941176471,8.08411790737027,20.4762441176471,4.46730370051832,1.50292156862745,0.390276150597869,-0.24,1.19,2.08,51,98.72,93,44.75,264.64,127.23,48.07,0.5,7.07,176.98,1201.83,12.55,"sample_00011-104","11.05.2022","t7",11,NA,NA,1
