"","file","date","time_point","culture_ID","comment","time","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"21","sample_00021","25.04.22","t3",21,NA,13,29.976,0.871395348837209,25265.853315,734.472480087209,95.9570793314284,35.2115030815376,41.6435098394454,15.2107208349991,329.172256738785,207.134910213039,231.505272727273,219.704632673004,0.714363636363636,0.00453488372093023,0.0837790697674419,0.0357558139534884,0,0.00767441860465116,0,0.0247093023255814,0.00837209302325581,0.00540697674418605,0,0
"22","sample_00022","25.04.22","t3",22,NA,13,9.086,0.264127906976744,21554.91891,626.59647994186,58.4468448947088,31.6649145882809,29.910444380138,13.5705674849106,278.191039170325,218.90379349525,171.786071428571,197.583537613452,0.521428571428571,0.0141860465116279,0.0255232558139535,0.0430232558139535,0.00691860465116279,0,0,0,0,0,0.0025,0
"23","sample_00023","25.04.22","t3",23,NA,13,4.484,0.130348837209302,10555.3368,306.841186046512,87.5173082362597,29.862118298192,41.7493733349289,12.5781653198803,301.519769094407,170.543823845273,208.048039215686,183.224453149896,0.679803921568627,0.0097093023255814,0.0906395348837209,0.0451162790697674,0,0.0161046511627907,0,0.0243604651162791,0,0.00622093023255814,0,0
"24","sample_00024","25.04.22","t3",24,NA,13,6.046,0.175755813953488,17257.890375,501.682859738372,77.2333414163209,28.6184233235383,38.3253656095909,12.4440350047849,274.853929911439,167.571984752139,169.368571428571,150.728648264573,0.619761904761905,0.011046511627907,0.0696511627906977,0.0586046511627907,0,0.00982558139534884,0,0.00697674418604651,0,0,0,0
"25","sample_00025","25.04.22","t3",25,NA,13,9.378,0.272616279069767,24541.94538,713.428644767442,83.3914166137054,34.4744407463083,40.8880579734852,17.1670079714516,290.82519390819,223.947556133942,180.948064516129,195.044731355303,0.730645161290323,0.00232558139534884,0.0575581395348837,0.00959302325581395,0,0.00697674418604651,0,0.0165116279069767,0.00447674418604651,0.00313953488372093,0,0
"26","sample_00026","25.04.22","t3",26,NA,13,11.366,0.330406976744186,32668.39998,949.662790116279,84.4539034555157,33.5485015287274,37.6240121109692,10.2503788388472,204.776680775591,116.595077720964,126.661647058824,114.309405623166,0.629294117647059,0.0430232558139535,0.217558139534884,0,0.0063953488372093,0.0149418604651163,0,0,0.00488372093023256,0.00395348837209302,0.0022093023255814,0
"27","sample_00027","25.04.22","t3",27,NA,13,11.548,0.335697674418605,31396.22208,912.680874418605,83.5589005083057,31.4155426200252,38.4127481749925,11.8739029984086,194.657008119075,89.7109752540756,125.843137254902,103.122157196752,0.609117647058824,0.0479651162790698,0.286046511627907,0.0116279069767442,0.00308139534883721,0.0097093023255814,0,0.00575581395348837,0.00168604651162791,0.00331395348837209,0.00726744186046512,0
"28","sample_00028","25.04.22","t3",28,NA,13,16.63,0.48343023255814,47037.285225,1367.36294258721,80.5233198945517,40.2677574300459,36.6278954729489,12.247331341481,258.376202913554,158.142657598335,135.092654867257,145.736937279235,0.772654867256637,0.0409302325581395,0.134767441860465,0.0287209302325581,0.000872093023255814,0.0331976744186046,0.00726744186046512,0.0232558139534884,0.0140697674418605,0.013546511627907,0.0186046511627907,0
"29","sample_00029","25.04.22","t3",29,NA,14,18.16,0.527906976744186,49954.896315,1452.1772184593,88.9798590141729,34.4122094209644,37.6938847988106,10.2551379819291,238.769113971754,127.290779684546,170.4525,123.994556086144,0.547105263157895,0.00168604651162791,0.213779069767442,0,0.000755813953488372,0.0248255813953488,0,0.005,0.0138953488372093,0.0145348837209302,0.00726744186046512,0
"30","sample_00030","25.04.22","t3",30,NA,14,14.694,0.427151162790698,38687.691015,1124.6421806686,83.1277639644749,39.3083829602593,38.3163655013488,16.2891914628148,308.157313055981,181.43878115162,181.578984375,201.492505371807,0.8678125,0.0570348837209302,0.0887790697674419,0.0786046511627907,0,0.0241279069767442,0.00755813953488372,0.026453488372093,0.00238372093023256,0.0486046511627907,0.00418604651162791,0
