"","file","date","time","time_point","culture_ID","comment","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"36","sample_00036","21.04.22",14,"t2",36,NA,43.312,1.25906976744186,203351.76522,5911.38852383721,88.5619742540097,56.7774226498944,41.241828683513,17.6402488540842,295.014519138079,189.422767294578,195.885818181818,187.468789517881,0.531636363636364,0.342790697674419,0.375813953488372,0.21,0,0.164651162790698,0,0,0,0.00767441860465116,0.0795348837209302,0
"37","sample_00037","21.04.22",14,"t2",37,NA,30.48,0.886046511627907,125829.87606,3657.84523430233,102.833067548307,68.1634208052907,45.9010060716975,21.4180589767561,231.08623348654,149.294971667286,129.690153846154,163.627384488855,0.595846153846154,0.338372093023256,0.572558139534884,0.138139534883721,0,0.0418604651162791,0.00883720930232558,0,0.0290697674418605,0.0688372093023256,0.0581395348837209,0
"38","sample_00038","21.04.22",14,"t2",38,NA,22.904,0.665813953488372,113322.51054,3294.25902732558,99.0691450329189,85.1912337652239,42.2415687383659,15.5843734336347,315.364526785466,184.585412150428,193.6988,182.81286148699,0.5288,0.293953488372093,0.274883720930233,0.298372093023256,0,0.0862790697674419,0,0.0865116279069768,0,0.0290697674418605,0.0290697674418605,0
"39","sample_00039","21.04.22",14,"t2",39,NA,25.776,0.749302325581395,46376.03484,1348.14054767442,88.5109819396734,40.8164747819303,41.9611846678273,14.5785724972367,274.996842143314,234.815348369657,176.924468085106,228.431608838529,0.60531914893617,0.141627906976744,0.435116279069767,0.0413953488372093,0,0.0613953488372093,0,0.0769767441860465,0.0862790697674419,0.046046511627907,0.0290697674418605,0
"40","sample_00040","21.04.22",14,"t2",40,NA,24.584,0.714651162790698,45983.03094,1336.71601569767,79.6269498861554,37.5418167355725,36.3499724326668,15.9672842397773,289.196161153359,164.512418615354,165.488714285714,172.69927430276,0.707285714285714,0.307209302325581,0.304186046511628,0.205116279069767,0,0.142325581395349,0,0.0974418604651163,0,0.173023255813954,0.0776744186046512,0
"41","sample_00041","21.04.22",14,"t2",41,NA,27.544,0.800697674418605,46083.93912,1339.64939302326,89.5781966281688,55.7358739732792,43.8734526351363,19.5165198758326,197.833218705284,154.925370124156,105.251481481481,137.659565450527,0.659074074074074,0.294418604651163,0.526511627906977,0.0574418604651163,0.00604651162790698,0.0704651162790698,0,0,0,0.0413953488372093,0.0581395348837209,0
"42","sample_00042","21.04.22",15,"t2",42,NA,23.496,0.683023255813954,44318.11158,1288.31719709302,79.2339336193106,40.5791649352886,38.3344194413746,15.364750159505,341.213085092355,232.446230661488,222.174333333333,243.259211077657,0.46,0.42046511627907,0.249767441860465,0.285348837209302,0,0.0637209302325581,0.105581395348837,0.0783720930232558,0.0630232558139535,0.0374418604651163,0.0855813953488372,0
"43","sample_00043","21.04.22",15,"t2",43,NA,26.608,0.773488372093023,48899.65788,1421.50168255814,97.3504018997794,52.8964102666853,46.6440088201999,20.8471555182925,233.274002476906,179.940350442391,149.188387096774,188.962567940325,0.566129032258065,0.398604651162791,0.57,0.0109302325581395,0,0.137906976744186,0,0,0.0269767441860465,0.0488372093023256,0.0290697674418605,0
"44","sample_00044","21.04.22",15,"t2",44,NA,36.776,1.06906976744186,66241.43064,1925.62298372093,88.6820741455846,40.5212267775195,40.4593059244209,12.9527528144537,354.397737455059,251.697509009106,234.857804878049,258.823603308682,0.497073170731707,0.313023255813954,0.526511627906977,0.519302325581395,0,0.11906976744186,0,0.116279069767442,0.0481395348837209,0.00627906976744186,0.0125581395348837,0
"45","sample_00045","21.04.22",15,"t2",45,NA,23.032,0.66953488372093,105637.08636,3070.84553372093,99.0536926224993,43.6542520384891,43.3740392406412,12.3938749410006,248.742758490019,170.988676240915,151.337954545455,169.172670240154,0.614545454545455,0.231395348837209,0.383255813953488,0.121627906976744,0,0.0123255813953488,0,0.0253488372093023,0.0430232558139535,0,0.0581395348837209,0
"46","sample_00046","21.04.22",15,"t2",46,NA,22.752,0.661395348837209,124597.06416,3622.00767906977,83.6550415305178,33.5801718002709,39.7976522324639,11.8631724723438,245.199107737185,174.11527366032,149.874583333333,168.012149902072,0.57875,0.213023255813954,0.484418604651163,0.109302325581395,0,0.0583720930232558,0,0.0541860465116279,0.0218604651162791,0.00744186046511628,0.0290697674418605,0
"47","sample_00047","21.04.22",15,"t2",47,NA,7.976,0.231860465116279,35114.07834,1020.75809127907,83.1741171108467,39.0792577785092,39.9519388686086,13.4354546663446,286.921366632224,209.529607474443,163.931904761905,190.170384337862,0.633095238095238,0.165581395348837,0.285348837209302,0.0588372093023256,0,0.0988372093023256,0,0,0.0872093023255814,0,0.112558139534884,0
"48","sample_00048","21.04.22",15,"t2",48,NA,18.312,0.532325581395349,90813.03174,2639.91371337209,94.6404512438628,52.4214973948934,35.8852272512048,18.1052137080566,253.414950920563,204.958510518653,164.923571428571,212.982458922994,0.728809523809524,0.0676744186046512,0.372790697674419,0,0.0290697674418605,0.0283720930232558,0,0,0.0072093023255814,0.154883720930233,0.0558139534883721,0
"49","sample_00049","21.04.22",15,"t2",49,NA,27.168,0.789767441860465,147177.27054,4278.40902732558,94.6270300708801,109.922472416117,41.3209435018451,25.8597424459399,277.845004206999,227.171482746743,174.777719298246,206.970870897483,0.608421052631579,0.395581395348837,0.372790697674419,0.0472093023255814,0,0.0567441860465116,0,0.0304651162790698,0.0867441860465116,0.112558139534884,0,0
"50","sample_00050","21.04.22",15,"t2",50,NA,14.544,0.422790697674419,76107.6,2212.43023255814,95.8665722317384,39.3498643891927,40.6691509904646,14.4606517217986,264.698069494864,133.718662764843,156.308,132.651478739659,0.495333333333333,0.198139534883721,0.526279069767442,0.156511627906977,0,0.096046511627907,0,0.0353488372093023,0,0.0358139534883721,0.0581395348837209,0
"51","sample_00051","21.04.22",15,"t2",51,NA,10.64,0.309302325581395,63134.66592,1835.31005581395,95.5720124443065,52.7214659784908,44.3759288766275,19.7293770268977,216.76725756524,146.605553147109,108.970408163265,127.502811308208,0.741428571428571,0.206976744186047,0.390232558139535,0.0190697674418605,0,0.0509302325581395,0,0.0551162790697674,0.0869767441860465,0.0672093023255814,0.0290697674418605,0.00837209302325581
